"";"Chemin";"Positions";"Distance"
"Helsinski";"Murmansk - ID5 - ID3 - Petrograd - Helsinski";"1138;-955|1092;-1269|1146;-1579|1023;-1533|820;-1435";988,757229131709
"Helsinski1";"Helsinski - Petrograd - ID3 - ID5 - Murmansk";"820;-1435|1023;-1533|1146;-1579|1092;-1269|1138;-955";988,757229131709
"ID3";"Murmansk - ID5 - ID3";"1138;-955|1092;-1269|1146;-1579";632,019619186822
"ID31";"ID3 - ID5 - Murmansk";"1146;-1579|1092;-1269|1138;-955";632,019619186822
"Petrograd";"Murmansk - ID5 - ID3 - Petrograd";"1138;-955|1092;-1269|1146;-1579|1023;-1533";763,339838498244
"Petrograd1";"Petrograd - ID3 - ID5 - Murmansk";"1023;-1533|1146;-1579|1092;-1269|1138;-955";763,339838498244
"ID5";"Murmansk - ID5";"1138;-955|1092;-1269";317,351540093947
"ID51";"ID5 - Murmansk";"1092;-1269|1138;-955";317,351540093947
"Archangel";"Murmansk - ID5 - ID3 - Moscou - Archangel";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1415;-1247";1381,03378108562
"Archangel1";"Archangel - Moscou - ID3 - ID5 - Murmansk";"1415;-1247|1286;-1755|1146;-1579|1092;-1269|1138;-955";1381,03378108562
"Tallin";"Murmansk - ID5 - ID3 - Petrograd - Tallin";"1138;-955|1092;-1269|1146;-1579|1023;-1533|874;-1552";913,546362990358
"Tallin1";"Tallin - Petrograd - ID3 - ID5 - Murmansk";"874;-1552|1023;-1533|1146;-1579|1092;-1269|1138;-955";913,546362990358
"Riga";"Murmansk - ID5 - ID3 - Petrograd - Riga";"1138;-955|1092;-1269|1146;-1579|1023;-1533|815;-1713";1038,41073844951
"Riga1";"Riga - Petrograd - ID3 - ID5 - Murmansk";"815;-1713|1023;-1533|1146;-1579|1092;-1269|1138;-955";1038,41073844951
"Minsk";"Murmansk - ID5 - ID3 - Moscou - Minsk";"1138;-955|1092;-1269|1146;-1579|1286;-1755|950;-1886";1217,54486759849
"Minsk1";"Minsk - Moscou - ID3 - ID5 - Murmansk";"950;-1886|1286;-1755|1146;-1579|1092;-1269|1138;-955";1217,54486759849
"Br.Litovsk";"Murmansk - ID5 - ID3 - Petrograd - Riga - Br.Litovsk";"1138;-955|1092;-1269|1146;-1579|1023;-1533|815;-1713|807;-1977";1302,53192275702
"Br.Litovsk1";"Br.Litovsk - Riga - Petrograd - ID3 - ID5 - Murmansk";"807;-1977|815;-1713|1023;-1533|1146;-1579|1092;-1269|1138;-955";1302,53192275702
"Moscou";"Murmansk - ID5 - ID3 - Moscou";"1138;-955|1092;-1269|1146;-1579|1286;-1755";856,910703936752
"Moscou1";"Moscou - ID3 - ID5 - Murmansk";"1286;-1755|1146;-1579|1092;-1269|1138;-955";856,910703936752
"Kiev";"Murmansk - ID5 - ID3 - Moscou - Kiev";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1065;-2080";1249,93233184036
"Kiev1";"Kiev - Moscou - ID3 - ID5 - Murmansk";"1065;-2080|1286;-1755|1146;-1579|1092;-1269|1138;-955";1249,93233184036
"Kharkov";"Murmansk - ID5 - ID3 - Moscou - Kharkov";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1218;-2126";1234,09103216186
"Kharkov1";"Kharkov - Moscou - ID3 - ID5 - Murmansk";"1218;-2126|1286;-1755|1146;-1579|1092;-1269|1138;-955";1234,09103216186
"Sebastopol";"Murmansk - ID5 - ID3 - Moscou - Kharkov - Sebastopol";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1218;-2126|1155;-2369";1485,12489441952
"Sebastopol1";"Sebastopol - Kharkov - Moscou - ID3 - ID5 - Murmansk";"1155;-2369|1218;-2126|1286;-1755|1146;-1579|1092;-1269|1138;-955";1485,12489441952
"Rostov";"Murmansk - ID5 - ID3 - Moscou - ID17 - Rostov";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1419;-1971|1382;-2252";1393,99934163153
"Rostov1";"Rostov - ID17 - Moscou - ID3 - ID5 - Murmansk";"1382;-2252|1419;-1971|1286;-1755|1146;-1579|1092;-1269|1138;-955";1393,99934163153
"Tsaritsyn";"Murmansk - ID5 - ID3 - Moscou - ID17 - Tsaritsyn";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1419;-1971|1552;-2174";1353,26296794506
"Tsaritsyn1";"Tsaritsyn - ID17 - Moscou - ID3 - ID5 - Murmansk";"1552;-2174|1419;-1971|1286;-1755|1146;-1579|1092;-1269|1138;-955";1353,26296794506
"ID17";"Murmansk - ID5 - ID3 - Moscou - ID17";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1419;-1971";1110,57386641802
"ID171";"ID17 - Moscou - ID3 - ID5 - Murmansk";"1419;-1971|1286;-1755|1146;-1579|1092;-1269|1138;-955";1110,57386641802
"ID18";"Murmansk - ID5 - ID3 - Moscou - ID18";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884";1181,63366278013
"ID181";"ID18 - Moscou - ID3 - ID5 - Murmansk";"1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";1181,63366278013
"Kazan";"Murmansk - ID5 - ID3 - Moscou - ID18 - Kazan";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1718;-1775";1354,36756217455
"Kazan1";"Kazan - ID18 - Moscou - ID3 - ID5 - Murmansk";"1718;-1775|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";1354,36756217455
"Samara";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926";1363,54847800968
"Samara1";"Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";1363,54847800968
"ID24";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - ID24";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2204;-2274";1926,88940498019
"ID241";"ID24 - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"2204;-2274|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";1926,88940498019
"Tashkent";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - ID24 - Tashkent";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2204;-2274|2403;-2574";2286,8907938664
"Tashkent1";"Tashkent - ID24 - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"2403;-2574|2204;-2274|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";2286,8907938664
"Perm";"Murmansk - ID5 - ID3 - Moscou - ID18 - Kazan - Perm";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686";1687,47715375065
"Perm1";"Perm - Kazan - ID18 - Moscou - ID3 - ID5 - Murmansk";"2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";1687,47715375065
"Yekaterin...";"Murmansk - ID5 - ID3 - Moscou - ID18 - Kazan - Perm - Yekaterin...";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2172;-1733";1828,53742455714
"Yekaterin...1";"Yekaterin... - Perm - Kazan - ID18 - Moscou - ID3 - ID5 - Murmansk";"2172;-1733|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";1828,53742455714
"Omsk";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855";2200,56520424638
